Id,Character,Name,Ability Element,Ability Pot. %,Ability Range,Ability Type,Command ATB,Command Sigil,Effect0,Effect0_Duration,Effect0_Extend,Effect0_MaxPot,Effect0_Pot,Effect0_Range,Effect1,Effect1_Duration,Effect1_Extend,Effect1_MaxPot,Effect1_Pot,Effect1_Range,Effect2,Effect2_Duration,Effect2_Extend,Effect2_MaxPot,Effect2_Pot,Effect2_Range,Effect3,Effect3_Range,GachaType
5019,Red XIII,Leather Collar,None,940.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
5020,Red XIII,Rubber Collar,Heal,115.0,Single Ally,Mag,5,,,,,,,,,,,,,,,,,,,,,,Featured
5021,Red XIII,Junk Collar,None,510.0,Single Enemy,Phys,4,,MATK Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
5023,Red XIII,Canyon Collar,Wind,500.0,All Enemies,Mag,4,,MDEF Down,30,10,Very High,High,All Enemies,,,,,,,,,,,,,,,Featured
5024,Red XIII,Pilot's Collar,Heal,60.0,All Allies,Mag,5,,MDEF Up,14,4,Very High,High,All Allies,,,,,,,,,,,,,,,Featured
5026,Red XIII,Iron Collar,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
5027,Red XIII,Headphones,None,540.0,All Enemies,Mag,4,,UNKNOWN EFFECT: 6,,,,,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
5028,Red XIII,Seaside Collar,None,510.0,Single Enemy,Phys,4,,Lightning Resistance Down,21,7,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,Featured
5031,Red XIII,Hell House Collar,None,360.0,Single Enemy,Mag,4,,MDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
5032,Red XIII,Flame Dragon's Band,None,360.0,Single Enemy,Mag,4,,Fire Resistance Down,28,9,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Grindable
5033,Red XIII,Egg Collar,Fire,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
5034,Red XIII,Amethyst Collar,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
5035,Red XIII,Steward Collar,None,360.0,Single Enemy,Mag,4,,PATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
5036,Red XIII,Ultimate Leather Collar,Heal,27.0,All Allies,Mag,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Ultimate
5037,Red XIII,Kefka's Collar,Lightning,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
5038,Red XIII,Brilliant Collar,Heal,8.0,All Allies,Mag,4,,MATK Up,25,8,Very High,High,All Allies,Wind Damage Up,25,8,Very High,High,All Allies,,,,,,,,,Featured
5040,Red XIII,Pirate Collar,Heal,60.0,All Allies,Mag,5,,MATK Up,25,8,Very High,High,All Allies,Lightning Damage Up,25,8,Very High,High,All Allies,UNKNOWN EFFECT: 16,,,,,Other Allies,,,Limited
5041,Red XIII,Limited Moon,Heal,111.0,All Allies,Mag,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Ultimate
5042,Red XIII,Great Sabrecat Collar,Lightning,440.0,All Enemies,Mag,3,,PDEF Down,24,8,High,High,All Enemies,MDEF Down,24,8,High,High,All Enemies,,,,,,,,,Event
5043,Red XIII,Tsviet Collar,None,240.0,All Enemies,Mag,4,,Wind Resistance Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
5044,Red XIII,Patissier's Collar,None,920.0,All Enemies,Phys,4,,Status Ailment: Enfeeble,40,13,,,All Enemies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Featured
6001,Yuffie,4-Point Shuriken,None,350.0,All Enemies,Phys,4,,PATK Down,25,8,High,High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Featured
6002,Yuffie,Boomerang,None,510.0,Single Enemy,Phys,4,,Fire Resistance Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
6003,Yuffie,Pinwheel,None,510.0,Single Enemy,Phys,4,,Ice Resistance Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
6004,Yuffie,Razor Ring,Earth,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
6005,Yuffie,Hawkeye,Earth,850.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
6006,Yuffie,Crystal Cross,Heal,14.0,Single Ally,Mag,4,,MATK Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Featured
6007,Yuffie,Wind Slash,None,510.0,Single Enemy,Phys,4,,Lightning Resistance Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
6008,Yuffie,Twin Viper,None,510.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,Status Ailment: Poison,30,7,,,Single Enemy,,,,,,,,,Featured
6009,Yuffie,Spiral Shuriken,Ice,800.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
6010,Yuffie,Magic Shuriken,Wind,520.0,All Enemies,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
6014,Yuffie,Diner Tray,Wind,850.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
6015,Yuffie,Arctic Star,Heal,14.0,Single Ally,Mag,4,,PATK Up,30,10,Very High,Very High,Single Ally,PATK Up,30,10,Very High,High,Self,,,,,,,,,Featured
6016,Yuffie,Bamboo Ring,None,500.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
6019,Yuffie,Little Red Wreath,Ice,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
6022,Yuffie,Chariot Wheel,Water,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
6024,Yuffie,Leviathan Cutter,Water,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
6026,Yuffie,Striped Moogle Float,Fire,700.0,All Enemies,Phys,4,,Fire Damage Up,35,7,Very High,Mid,Self,,,,,,,,,,,,,,,Featured
6027,Yuffie,Cactuar Fan,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
6028,Yuffie,Bahamut Cutter,None,1080.0,Single Enemy,Phys,4,,MDEF Up,25,8,Very High,High,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
6029,Yuffie,Ultimate 4-Point Shuriken,None,1000.0,Single Enemy,Both,0,,PATK Up,30,30,Very High,Very High,Self,MATK Up,30,30,Very High,Very High,Self,,,,,,,,,Ultimate
6030,Yuffie,Holiday Bell,Wind,620.0,Single Enemy,Mag,4,,Wind Resistance Down,30,10,Very High,Mid,Single Enemy,MDEF Down,30,10,Very High,Mid,Single Enemy,,,,,,,,,Featured
6031,Yuffie,Mallet of Luck,None,250.0,All Enemies,Mag,4,,Fire Resistance Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
6032,Yuffie,Conformer,None,2000.0,Single Enemy,Both,0,,PDEF Down,30,30,Very High,Very High,Single Enemy,MDEF Down,30,30,Very High,Very High,Single Enemy,UNKNOWN EFFECT: 16,,,,,Self,,,Ultimate
6033,Yuffie,Bird of Prey,Water,940.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,,,,,,,Limited
6034,Yuffie,Risanautr,None,360.0,Single Enemy,Mag,4,,Earth Resistance Down,28,9,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
6035,Yuffie,Watch of the Hunt,Lightning,540.0,All Enemies,Mag,4,,PATK Down,30,10,Very High,High,All Enemies,PDEF Up,20,6,Very High,High,All Allies,,,,,,,,,Featured
6036,Yuffie,Rocker's Guitar,Ice,600.0,Single Enemy,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 30,,,,,Self,,,,,,,,,Featured
6037,Yuffie,Striped Moogle Flag,None,360.0,Single Enemy,Mag,4,,MATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
6038,Yuffie,Uber 4-Point Shuriken,Earth,1340.0,Single Enemy,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Limited
6039,Yuffie,Fatum Ex Machina,None,1340.0,Single Enemy,Phys,4,,Status Ailment: Enfeeble,60,20,,,Single Enemy,PATK Down,60,20,Very High,Very High,Single Enemy,Earth Resistance Down,60,20,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,Single Enemy,Limited
6040,Yuffie,Heirloom Brush,None,1340.0,Single Enemy,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKNOWN EFFECT: 31,,,,,All Allies,UNKOWN ADDITIONAL EFFECT,Single Enemy,Limited
6041,Yuffie,Winged Chakram,Lightning,1340.0,Single Enemy,Phys,4,,PDEF Down,25,8,Very High,High,Single Enemy,Lightning Damage Up,25,8,Very High,High,All Allies,UNKNOWN EFFECT: 16,,,,,All Allies,,,Featured
6043,Yuffie,Rising Sun,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKNOWN EFFECT: 16,,,,,All Allies,,,,,,,,,Ultimate
7001,Cait Sith,Yellow Megaphone,None,700.0,Single Enemy,Phys,5,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
7002,Cait Sith,Green Megaphone,Water,620.0,Single Enemy,Mag,4,,Water Resistance Down,30,10,Very High,Very High,Single Enemy,,,,,,,,,,,,,,,Featured
7003,Cait Sith,Blue Megaphone,Ice,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
7004,Cait Sith,Red Megaphone,Fire,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
7005,Cait Sith,Crystal Megaphone,Heal,14.0,Single Ally,Mag,4,,PDEF Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Featured
7008,Cait Sith,Silver Megaphone,None,510.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,PDEF Down,30,10,Mid,Mid,Single Enemy,PDEF Down,30,10,Very High,Very High,Single Enemy,,,Featured
7009,Cait Sith,Gold Megaphone,None,510.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,Fire Resistance Down,25,8,Very High,Very High,Single Enemy,MATK Down,60,20,Very High,Very High,Single Enemy,,,Featured
7010,Cait Sith,Battle Trumpet,None,350.0,All Enemies,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,MATK Down,25,8,High,High,All Enemies,PATK Down,60,20,Very High,Very High,All Enemies,,,Featured
7011,Cait Sith,Trumpet Shell,Heal,8.0,All Allies,Mag,4,,PATK Up,20,6,High,High,All Allies,MATK Up,20,6,High,High,All Allies,,,,,,,,,Event
7014,Cait Sith,Marching Horn,Heal,14.0,Single Ally,Mag,4,,PATK Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Featured
7015,Cait Sith,Nocturne Horn,Wind,780.0,All Enemies,Mag,4,,Wind Resistance Down,25,8,Very High,High,All Enemies,MDEF Down,25,8,Very High,High,All Enemies,,,,,,,,,Featured
7017,Cait Sith,Cool Cat's Megaphone,Lightning,710.0,Single Enemy,Phys,4,,Status Ailment: Enfeeble,60,12,,,Single Enemy,PATK Up,20,6,Very High,High,All Allies,,,,,,,,,Limited
7019,Cait Sith,Witch's Broom,None,420.0,Single Enemy,Phys,3,,MDEF Down,24,8,High,High,Single Enemy,Lightning Resistance Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
7022,Cait Sith,Flower Vase,Heal,14.0,Single Ally,Mag,4,,MATK Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,Featured
7023,Cait Sith,Catsmegaphone,Heal,14.0,Single Ally,Mag,4,,PATK Up,44,14,High,Mid,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Event
7024,Cait Sith,Humus Megaphone,Wind,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
7025,Cait Sith,Fireworks Megaphone,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
7026,Cait Sith,Alba Megaphone,None,390.0,All Enemies,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,,,,,,,Event
7027,Cait Sith,Icebolt Megaphone,None,340.0,Single Enemy,Mag,4,,Ice Resistance Down,25,8,High,High,Single Enemy,Lightning Resistance Down,25,8,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Grindable
7028,Cait Sith,Ultimate Yellow Megaphone,Heal,5.0,Single Ally,Mag,0,,UNKNOWN EFFECT: 26,,,,,Single Ally,,,,,,,,,,,,,,,Ultimate
7029,Cait Sith,Quina Megaphone,Heal,8.0,All Allies,Mag,4,,PATK Up,20,6,Very High,Very High,All Allies,PDEF Up,20,6,Very High,Very High,All Allies,,,,,,,,,Event
7031,Cait Sith,Stilva Megaphone,None,250.0,All Enemies,Mag,4,,Ice Resistance Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
7032,Cait Sith,HP Shout,None,1000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Ultimate
7033,Cait Sith,Spirit Demon Megaphone,None,250.0,All Enemies,Mag,4,,PATK Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
8001,Vincent,Transgressor,Wind,1340.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,Featured
8002,Vincent,Cath Palug,Ice,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
8003,Vincent,Gilded Age,Heal,14.0,Self,Mag,4,,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,Featured
8004,Vincent,S1976C,None,540.0,All Enemies,Mag,4,,PATK Down,25,8,Very High,High,All Enemies,MATK Down,25,8,Very High,High,All Enemies,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,All Enemies,Featured
8005,Vincent,Shortbarrel,Wind,400.0,Single Enemy,Phys,4,,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,,,,,,,Featured
8007,Vincent,T03 Model N,None,300.0,Single Enemy,Phys,2,,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
8008,Vincent,Sawed-Off GS,Heal,16.0,Self,Mag,4,,MATK Up,38,12,Very High,Very High,Self,MDEF Up,38,12,Very High,Very High,Self,UNKNOWN EFFECT: 26,,,,,Self,,,Featured
8009,Vincent,Chiron,None,510.0,Single Enemy,Phys,4,,Earth Resistance Down,35,11,Very High,Very High,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
8010,Vincent,Double Stem E,None,520.0,All Enemies,Mag,4,,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,Status Ailment: Poison,25,6,,,All Enemies,,,Featured
8012,Vincent,White Dog,Earth,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,Limited
8013,Vincent,Kugelblitz,None,750.0,All Enemies,Mag,4,,MDEF Down,35,11,Very High,Very High,All Enemies,Earth Damage Up,45,9,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKNOWN EFFECT: 26,Self,Featured
8014,Vincent,Silver Rifle,None,700.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Event
8015,Vincent,Hugin & Munin,None,1300.0,Single Enemy,Mag,4,,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
8016,Vincent,Crow Familiar,Lightning,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,Featured
8017,Vincent,Quicksilver,None,750.0,Single Enemy,Phys,4,,UNKNOWN EFFECT: 26,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
8018,Vincent,Icebolt Shooter,None,340.0,Single Enemy,Mag,4,,Ice Resistance Down,25,8,High,High,Single Enemy,Lightning Resistance Down,25,8,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Grindable
8019,Vincent,Ultimate Quicksilver,None,1000.0,Single Enemy,Both,0,,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,,,,,,,Ultimate
8020,Vincent,Rhad Gun,Heal,14.0,Single Ally,Mag,4,,PATK Up,44,14,High,Mid,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Event
8021,Vincent,Eligor Gun,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
8022,Vincent,Holiday Garm,Fire,940.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,Featured
8023,Vincent,Noblesse Automatic,None,360.0,Single Enemy,Mag,4,,PATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
8024,Vincent,Gun of the Worthy,Ice,1120.0,Single Enemy,Phys,4,,Status Ailment: Ice Weakness,150,0,,+50.0%,Single Enemy,UNKNOWN EFFECT: 26,,,,,Self,,,,,,,,,Limited
8025,Vincent,Death Penalty,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 26,,,,,Self,,,Ultimate
8026,Vincent,Electro Peashooter,Lightning,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
8027,Vincent,Galian Roar,None,800.0,Single Enemy,Mag,3,,Status Ailment: Enfeeble,60,12,,,Single Enemy,MDEF Down,35,11,Very High,High,Single Enemy,MATK Up,35,11,Very High,High,All Allies,UNKOWN ADDITIONAL EFFECT,Single Enemy,Featured
8029,Vincent,Fomalhaut,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 26,Self,Ultimate
9001,Cid,Spear,None,750.0,Single Enemy,Phys,4,,Status Ailment: Stop,8,3,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
9002,Cid,Slash Lance,None,540.0,All Enemies,Phys,4,,PDEF Up,20,6,Very High,Very High,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Featured
9003,Cid,Trident,None,620.0,Single Enemy,Phys,4,,Status Ailment: Poison,30,7,,,Single Enemy,Status Ailment: Stop,5,3,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
9004,Cid,Pole Axe,None,540.0,All Enemies,Phys,4,,PATK Down,25,8,Very High,High,All Enemies,MATK Down,25,8,Very High,High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Featured
9005,Cid,Partisan,Wind,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
9006,Cid,Viper Halberd,Heal,16.0,Self,Mag,4,,PDEF Up,38,12,Very High,Very High,Self,MDEF Up,38,12,Very High,Very High,Self,,,,,,,,,Featured
9008,Cid,Radiant Lance,None,750.0,Single Enemy,Phys,4,,UNKNOWN EFFECT: 30,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
9010,Cid,Dragoon Lance,Lightning,670.0,All Enemies,Mag,4,,Lightning Resistance Down,30,10,Very High,High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Featured
9011,Cid,Scimitar,Heal,14.0,Single Ally,Mag,4,,PATK Up,30,10,Very High,High,Single Ally,MATK Up,30,10,Very High,High,Single Ally,Ice Damage Up,30,10,Very High,High,Single Ally,,,Featured
9012,Cid,Flayer,None,420.0,Single Enemy,Phys,3,◊ Diamond,Status Ailment: Stop,5,3,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
9015,Cid,Rocket Lance,None,620.0,Single Enemy,Mag,4,,Status Ailment: Enfeeble,70,14,,,Single Enemy,Ice Resistance Down,35,11,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
9016,Cid,Mop,None,540.0,All Enemies,Phys,4,,Status Ailment: Stop,5,3,,,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
9018,Cid,Ultimate Spear,Heal,5.0,Single Ally,Mag,0,,UNKNOWN EFFECT: 26,,,,,Single Ally,PATK Up,30,30,Very High,Very High,Single Ally,,,,,,,,,Ultimate
9019,Cid,Odin Spear,Wind,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
9020,Cid,Lance of the Hunt,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
9024,Cid,Captain's Spear,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
9025,Cid,Venus Gospel,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 16,,,,,All Allies,,,Ultimate
9026,Cid,Antler Pike,Lightning,920.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 16,,,,,All Allies,,,,,,,,,Featured
9028,Cid,Patissier's Spear,Ice,920.0,Single Enemy,Phys,4,,PATK Down,30,10,Very High,Very High,Single Enemy,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,Featured
20001,Zack,Type-99 Longsword,None,750.0,Single Enemy,Phys,4,◯ Circle,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
20002,Zack,Buster Sword Origin,None,860.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Event
20003,Zack,Beach Parasol,None,560.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
20004,Zack,Enhance Sword (Z),Heal,143.0,Single Ally,Mag,5,,,,,,,,,,,,,,,,,,,,,,Featured
20005,Zack,Defender,Heal,14.0,Single Ally,Mag,4,,PDEF Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Featured
20006,Zack,Crystal Sword (Z),Fire,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
20007,Zack,Falchion,Wind,520.0,All Enemies,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
20008,Zack,Zweihander,None,940.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
20009,Zack,Arc Sword,None,510.0,Single Enemy,Mag,4,,MDEF Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
20010,Zack,Cutlass,None,510.0,Single Enemy,Phys,4,,PDEF Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
20011,Zack,Ceremonial Sword (Z),None,1400.0,Single Enemy,Phys,5,,PATK Up,35,7,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
20012,Zack,Battering Sword,Wind,1340.0,Single Enemy,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Featured
20013,Zack,Bouquet,None,400.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
20014,Zack,Pressure Ridge,Ice,620.0,Single Enemy,Phys,4,,Ice Resistance Down,30,10,Very High,Very High,Single Enemy,,,,,,,,,,,,,,,Featured
20015,Zack,Iron Greatsword,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
20016,Zack,Ifrit's Sword,Fire,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
20018,Zack,Twinkling Star,None,540.0,Single Enemy,Phys,4,,MATK Down,30,10,Very High,High,Single Enemy,PDEF Down,30,10,Very High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
20019,Zack,Black Whiskers,None,540.0,Single Enemy,Phys,4,,PDEF Down,30,10,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,Water Resistance Down,30,10,Very High,High,Single Enemy,,,Featured
